epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.156,1.69784,3.42828,1.77115,0.00442,0.4213,0.03726,0.01432,1.69615,3.77423,1.80566,0.00013336,0.00013336,0.00013336
2,600.225,1.50055,3.09284,1.59568,0.00453,0.4213,0.07598,0.02729,1.92536,3.74879,2.02374,0.000280584,0.000280584,0.000280584
3,817.297,1.46662,2.68989,1.57475,0.00511,0.4213,0.09216,0.03569,1.86138,3.71997,2.10532,0.000424838,0.000424838,0.000424838
4,1011.28,1.41939,2.33861,1.56409,0.61471,0.23165,0.1362,0.05062,1.8454,3.63237,2.12108,0.000566122,0.000566122,0.000566122
5,1197.89,1.44035,2.18406,1.53745,0.77965,0.02511,0.103,0.05236,1.70153,3.55208,1.91055,0.000704434,0.000704434,0.000704434
6,1397.4,1.47198,2.17054,1.52113,0.76239,0.07407,0.13481,0.05735,1.86574,3.32088,2.02302,0.000839776,0.000839776,0.000839776
7,1606.78,1.54967,2.2025,1.58718,0.7371,0.09259,0.13126,0.06058,1.91438,3.40799,2.02051,0.000972148,0.000972148,0.000972148
8,1811.19,1.44985,2.06951,1.50322,0.62615,0.09259,0.10794,0.0564,1.71007,3.17783,1.79925,0.00110155,0.00110155,0.00110155
9,2015.16,1.40416,1.9379,1.5338,0.77742,0.14815,0.1495,0.07169,1.95968,3.08658,1.96126,0.00122798,0.00122798,0.00122798
10,2216.31,1.43621,2.02487,1.47571,0.67141,0.14815,0.13927,0.05179,2.0351,2.93347,2.04549,0.00135144,0.00135144,0.00135144
11,2420.13,1.54306,1.99196,1.56029,0.59709,0.1563,0.0965,0.04265,2.3183,3.61409,2.40852,0.00147193,0.00147193,0.00147193
12,2613.49,1.4107,1.8497,1.45573,0.62829,0.12963,0.08422,0.04475,2.18395,3.34935,2.49508,0.00148546,0.00148546,0.00148546
13,2808.77,1.44938,1.91617,1.45653,0.66899,0.16667,0.10459,0.04637,2.10558,3.55711,2.27227,0.00146896,0.00146896,0.00146896
14,2996.08,1.42061,1.88983,1.49166,0.78387,0.16667,0.19673,0.09755,1.92843,3.33431,2.0792,0.00145246,0.00145246,0.00145246
15,3207.72,1.38602,1.79628,1.46942,0.71936,0.16667,0.15435,0.08225,1.71482,3.00001,2.00085,0.00143595,0.00143595,0.00143595
16,3414.26,1.40854,1.77663,1.48358,0.67233,0.14815,0.25967,0.16382,1.89262,2.94801,2.01607,0.00141945,0.00141945,0.00141945
17,3601.97,1.38707,1.74479,1.40401,0.66269,0.23234,0.28892,0.17653,1.78989,2.84953,1.94877,0.00140295,0.00140295,0.00140295
18,3794.91,1.35599,1.63472,1.43258,0.77407,0.16667,0.16286,0.07738,2.00881,2.95389,2.20917,0.00138644,0.00138644,0.00138644
19,3982.23,1.35605,1.58869,1.39732,0.77675,0.18373,0.30468,0.18639,1.93435,2.7729,2.10731,0.00136994,0.00136994,0.00136994
20,4173.71,1.30689,1.51832,1.36658,0.18793,0.20083,0.15789,0.07605,1.96436,2.74407,2.12404,0.00135344,0.00135344,0.00135344
21,4367.39,1.31984,1.56256,1.39406,0.13813,0.2192,0.14881,0.05489,2.08929,2.6731,2.28573,0.00133693,0.00133693,0.00133693
22,4564.81,1.26996,1.47648,1.37549,0.11569,0.22222,0.10558,0.04048,2.14279,3.15335,2.20666,0.00132043,0.00132043,0.00132043
23,4754.44,1.29549,1.5029,1.34963,0.15328,0.25389,0.17556,0.08106,2.05145,2.69238,2.09526,0.00130393,0.00130393,0.00130393
24,5011.97,1.23334,1.43691,1.32175,0.75627,0.25926,0.22044,0.11511,1.9177,2.49711,2.0423,0.00128742,0.00128742,0.00128742
25,5214.62,1.19001,1.33176,1.30978,0.77397,0.2037,0.20133,0.12371,1.9147,2.60909,2.09557,0.00127092,0.00127092,0.00127092
26,5405.9,1.1878,1.25635,1.29323,0.24914,0.20237,0.2042,0.12587,1.96133,2.53226,2.22419,0.00125442,0.00125442,0.00125442
27,5629.43,1.19942,1.28935,1.30638,0.78629,0.16667,0.17995,0.09905,2.07898,2.50579,2.34343,0.00123791,0.00123791,0.00123791
28,5828.85,1.20488,1.2453,1.293,0.73171,0.18519,0.17748,0.08457,1.96973,2.78663,2.3477,0.00122141,0.00122141,0.00122141
29,6030.8,1.17949,1.25342,1.31605,0.73246,0.18519,0.14116,0.08179,1.95034,2.87024,2.17627,0.00120491,0.00120491,0.00120491
30,6224.45,1.18689,1.23147,1.324,0.76095,0.16667,0.14628,0.09434,1.76701,2.68674,1.9891,0.0011884,0.0011884,0.0011884
31,6415.33,1.17892,1.22166,1.29491,0.77491,0.2037,0.15779,0.08821,1.79299,2.41742,1.91954,0.0011719,0.0011719,0.0011719
32,6602.84,1.1233,1.21794,1.24328,0.76488,0.18519,0.16437,0.08246,1.83982,2.40304,1.94308,0.0011554,0.0011554,0.0011554
33,6797.63,1.14311,1.26517,1.27236,0.70624,0.23417,0.19181,0.10481,1.7702,2.2877,1.82573,0.00113889,0.00113889,0.00113889
34,6993.82,1.10768,1.16322,1.24349,0.22157,0.27778,0.22677,0.13019,1.80278,2.3351,1.82008,0.00112239,0.00112239,0.00112239
35,7317.87,1.10325,1.15472,1.27307,0.2065,0.2963,0.25944,0.15823,1.72734,2.19899,1.86537,0.00110589,0.00110589,0.00110589
36,7578.12,1.08752,1.12435,1.2674,0.81936,0.16667,0.19579,0.11828,1.88681,2.55244,2.14247,0.00108938,0.00108938,0.00108938
37,7867.37,1.12956,1.16764,1.26469,0.24341,0.29167,0.20522,0.12772,1.70486,2.55989,1.9701,0.00107288,0.00107288,0.00107288
